catalog_order,track,category,subcategory,format,title,series_number,duration,upload_date,views,video_id,url,description
33,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 9,9,7:27,2021-12-29,1948,YdInUCkM2H4,https://www.youtube.com/watch?v=YdInUCkM2H4,"0:00 - Question
0:56 - Answer / Explanation
4:05 - Wrong choices and Ddx"
34,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 10,10,6:40,2022-03-06,1720,3lYrDIxqovo,https://www.youtube.com/watch?v=3lYrDIxqovo,"0:00 - Question
0:55 - Answer / Explanation
2:35 - Wrong choices and Differentials"
35,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 11,11,5:40,2022-06-12,2040,P-3dw2aw5mE,https://www.youtube.com/watch?v=P-3dw2aw5mE,"0:00 - Question
0:58 - Answer / Explanation
2:30 - Top differential diagnosis for this particular finding"
36,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 12,12,5:31,2022-09-24,2068,ExSEToGtrrc,https://www.youtube.com/watch?v=ExSEToGtrrc,"0:00 - Question
0:50 - Answer and Explanation
2:37 - Wrong answers and ddx
#neuroradiology 
Post-radiation marrow"
37,Board Review Cases,Board review — spine,Numbered case series,Long-form case review,Neuroradiology Board Review - Spine Case 13,13,5:42,2023-02-18,3616,TFcptGZvjLk,https://www.youtube.com/watch?v=TFcptGZvjLk,"0:00 - Intro.
0:50 - Answer and Explanation
2:16 - Wrong answers and ddx
#neuroradiology 
Inflammatory: AIDP / Guillain-Barre"
38,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 1,1,5:19,2020-12-23,3663,uu-7aFc1fzA,https://www.youtube.com/watch?v=uu-7aFc1fzA,"0:00 - Question
0:50 - Answer and Explanation
2:17 - Wrong answers
#neuroradiology 
Neoplasm: Inverted papilloma"
39,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 2,2,4:01,2021-01-02,908,koRis7Yxji0,https://www.youtube.com/watch?v=koRis7Yxji0,"0:00 - Question
0:50 - Answer and explanation
2:21- Wrong answers

Neoplasm: Optic nerve meningioma"
40,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 3,3,4:11,2021-01-25,2590,GsuKZl_avMU,https://www.youtube.com/watch?v=GsuKZl_avMU,"0:00 - Question
0:50 - Answer and Explanation
2:25 - Wrong answers

Labyrinthitis ossificans"
41,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review Head/Neck Case 4,4,5:15,2021-04-05,2029,Q6cWJg7G73g,https://www.youtube.com/watch?v=Q6cWJg7G73g,"0:00​ - Question
0:58 - Answer and explanation
2:53​ - Wrong answers

Neoplasm: Cystic nodal metastasis"
42,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 5,5,7:32,2021-06-03,2116,rW4oUI7Ry5I,https://www.youtube.com/watch?v=rW4oUI7Ry5I,"0:00 - Question
0:58 - Answer and explanation
3:16 - Wrong answers and ddx

Malformation: Epidermoid cyst"
43,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 6,6,9:46,2021-08-04,1934,onjAopiif74,https://www.youtube.com/watch?v=onjAopiif74,"0:00 - Question
1:00 - Answer and Explanation
3:51 - Wrong answers and differential diagnosis

Otosclerosis / Otospongiosis"
44,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 7,7,11:43,2021-09-11,2214,-ONogOyRi5s,https://www.youtube.com/watch?v=-ONogOyRi5s,"0:00 - Question
0:57 - Answer and Explanation
6:32 - Wrong answers and differential diagnosis"
45,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 8,8,8:11,2021-10-25,1962,XJkjbEjKrVI,https://www.youtube.com/watch?v=XJkjbEjKrVI,"0:00 - Question
0:56 - Answer and Explanation (Neck Spaces)
4:48 - Key Findings and Wrong Answers"
46,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 9,9,8:00,2022-01-31,1931,Khha5Vj2aBQ,https://www.youtube.com/watch?v=Khha5Vj2aBQ,"0:00 - Question
0:57 - Answer and Explanation
4:32 - Wrong answers and differential diagnosis"
47,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 10,10,9:26,2022-03-18,1276,0dAWVC8A9oA,https://www.youtube.com/watch?v=0dAWVC8A9oA,"0:00 - Question
0:57 - Answer and Explanation
3:33 - Wrong answers and differential diagnosis"
48,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 11,11,9:39,2022-08-08,2161,EqCHRQd-ego,https://www.youtube.com/watch?v=EqCHRQd-ego,"0:00 - Question
0:54 - Answer and Explanation
4:55 - Wrong answers and differential diagnosis

Illustration / Image sources:
https://radiologyassistant.nl/head-neck/cervical-node-mapping/cervical-node-map
https://radiologykey.com/laryngocele/"
49,Board Review Cases,Board review — head & neck,Numbered case series,Long-form case review,Neuroradiology Board Review - Head/Neck Case 12,12,7:33,2022-10-15,3006,fJUYFBagNH0,https://www.youtube.com/watch?v=fJUYFBagNH0,"0:00 - Question
0:54 - Answer and Explanation
2:17 - Differential diagnosis and other wrong choices
#neuroradiology 
Chordoma"
50,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology board review - Pediatric Case 1,1,5:55,2020-12-21,7224,t5sgpAzjq9E,https://www.youtube.com/watch?v=t5sgpAzjq9E,"00:00 - Question
00:41- Answer + Explanations
03:55 - 2nd Question
04:24 - 2nd Answer + Explanations
#neuroradiology 
Congenital Malformation: Septo-optic dysplasia"
51,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 2,2,4:21,2020-12-25,3482,H0cNYbsp-Ag,https://www.youtube.com/watch?v=H0cNYbsp-Ag,"0:00 - Question
0:50 - Answer and Explanation
2:50 - Lipomyelomeningocele vs. Lipomyelocele
3:37 - Wrong answers

Congenital Malformation: Lipomyelomeningocele"
52,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 3,3,4:26,2021-01-15,2235,I-DSa0kZOvI,https://www.youtube.com/watch?v=I-DSa0kZOvI,"0:00 - Question
0:50 - Answer and explanation
2:11 - Wrong answers

Congenital Malformation: Dandy-walker"
53,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 4,4,7:00,2021-02-12,3946,IPfchKcJ_98,https://www.youtube.com/watch?v=IPfchKcJ_98,"0:00 - Question
0:56 - Answer and explanation
5:09 - Wrong answers

Congenital Malformation: Alobar holoprosencephaly"
54,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 5,5,5:15,2021-04-08,1015,CfvOPsTLIAY,https://www.youtube.com/watch?v=CfvOPsTLIAY,"0:00​ - Question
0:58 - Answer and explanation
2:58​ - Wrong answers

Neoplasm: Craniopharyngioma"
55,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 6,6,11:53,2021-07-03,2334,sw_qHmBqkLg,https://www.youtube.com/watch?v=sw_qHmBqkLg,"0:00 - Question
0:58 - Answer and explanation
5:16 - Wrong answers and differential diagnosis

Lhermitte-Duclos"
56,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 7,7,8:00,2021-08-06,2022,1noFZlpXDZo,https://www.youtube.com/watch?v=1noFZlpXDZo,"0:00 - Question
1:00 - Answer and Explanation
3:16 - Other associations
3:51 - Wrong answers and differential diagnosis

Congenital Malformation: Agenesis of corpus callosum"
57,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 8,8,9:56,2021-10-04,2339,JTQMRUg-oR8,https://www.youtube.com/watch?v=JTQMRUg-oR8,"0:00 - Question
0:58 - Answer and Explanation
5:31 - Wrong answers and differential diagnosis"
58,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 9,9,6:58,2021-11-27,2040,sPJZLlj1EsI,https://www.youtube.com/watch?v=sPJZLlj1EsI,"0:00 - Question
0:56 - Answer and Explanation
3:11 - Wrong answers and differential diagnosis"
